modelo,threshold,accuracy,precision_1,recall_1,f1_1,roc_auc,average_precision,experimento
AdvancedRandomForest@f2,0.25,0.4679187927478015,0.12908285661561172,0.7939841089670828,0.22206349206349207,0.6855653498629872,0.1825065340769301,benchmark_ensemble
AdvancedRandomForest@0.50,0.5,0.8566388014330691,0.22920517560073936,0.21112372304199772,0.21979320531757754,0.6855653498629872,0.1825065340769301,benchmark_ensemble
AdvancedExtraTrees@f1,0.4,0.7500271414612962,0.1823463687150838,0.46311010215664017,0.26166426166426165,0.678266437108328,0.18118390077962568,benchmark_ensemble
AdvancedExtraTrees@f2,0.3,0.5612854196069916,0.14156079854809436,0.7082860385925085,0.23596142938173567,0.678266437108328,0.18118390077962568,benchmark_ensemble
AdvancedExtraTrees@cost,0.3,0.5612854196069916,0.14156079854809436,0.7082860385925085,0.23596142938173567,0.678266437108328,0.18118390077962568,benchmark_ensemble
AdvancedExtraTrees@0.50,0.5,0.8768863315600912,0.24392712550607287,0.13677639046538026,0.17527272727272727,0.678266437108328,0.18118390077962568,benchmark_ensemble
AdvancedDecisionTreeCalibrated_sigmoid@threshold_f1,0.1,0.6161111714254696,0.14778455823825948,0.6322360953461975,0.23956989247311827,0.6740163488778032,0.1775476724816908,advanced
AdvancedDecisionTreeCalibrated_sigmoid@threshold_f2,0.1,0.6161111714254696,0.14778455823825948,0.6322360953461975,0.23956989247311827,0.6740163488778032,0.1775476724816908,advanced
AdvancedDecisionTreeCalibrated_sigmoid@threshold_cost,0.1,0.6161111714254696,0.14778455823825948,0.6322360953461975,0.23956989247311827,0.6740163488778032,0.1775476724816908,advanced
AdvancedDecisionTreeCalibrated_sigmoid@0.50,0.5,0.9043534903919227,0.0,0.0,0.0,0.6740163488778032,0.1775476724816908,advanced
AdvancedDecisionTreeCalibrated_isotonic@threshold_f1,0.1,0.6420584084247096,0.1516724336793541,0.5970488081725313,0.2418946884341228,0.6736425273855285,0.17597118196799977,advanced
AdvancedDecisionTreeCalibrated_isotonic@threshold_f2,0.1,0.6420584084247096,0.1516724336793541,0.5970488081725313,0.2418946884341228,0.6736425273855285,0.17597118196799977,advanced
AdvancedDecisionTreeCalibrated_isotonic@threshold_cost,0.1,0.6420584084247096,0.1516724336793541,0.5970488081725313,0.2418946884341228,0.6736425273855285,0.17597118196799977,advanced
AdvancedDecisionTreeCalibrated_isotonic@0.50,0.5,0.9043534903919227,0.0,0.0,0.0,0.6736425273855285,0.17597118196799977,advanced
EnhancedDecisionTree@validated_threshold,0.4,0.7200086852676149,0.16705882352941176,0.48354143019296253,0.2483241037598368,0.6635964601504619,0.17005203166659943,enhanced
EnhancedDecisionTree@0.50,0.5,0.8133210292042123,0.2012825080156751,0.3206583427922815,0.24731888815933464,0.6635964601504619,0.17005203166659943,enhanced
AdvancedDecisionTree@0.50,0.5,0.8028444251438498,0.19935691318327975,0.3518728717366629,0.2545155993431856,0.6651024598261552,0.16688707902694505,advanced
AdvancedDecisionTree@threshold_f1,0.45,0.6699598306372815,0.1587100853619981,0.5698070374574348,0.24826904055390703,0.6651024598261552,0.16688707902694505,advanced
AdvancedDecisionTree@threshold_cost,0.4,0.6445011399413745,0.15185454545454546,0.5925085130533485,0.2417506078499479,0.6651024598261552,0.16688707902694505,advanced
